2014-12-24 오후 10:31:11 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:31:12 Reply from 192.168.0.1; bytes=32 time<248 TTL=64
2014-12-24 오후 10:32:41 Reply from 192.168.0.1; bytes=32 time<2 TTL=64
2014-12-24 오후 10:32:42 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:32:43 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:32:44 Reply from 192.168.0.1; bytes=32 time<3 TTL=64
2014-12-24 오후 10:32:46 Reply from 192.168.0.1; bytes=32 time<165 TTL=64
2014-12-24 오후 10:32:46 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:32:47 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:32:48 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:35:46 Reply from 192.168.0.1; bytes=32 time<3 TTL=64
2014-12-24 오후 10:35:47 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:35:48 Reply from 192.168.0.1; bytes=32 time<211 TTL=64
2014-12-24 오후 10:35:49 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:37:20 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:37:21 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:39:30 Reply from 192.168.0.1; bytes=32 time<8 TTL=64
2014-12-24 오후 10:39:31 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:39:32 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:39:33 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:39:34 Reply from 192.168.0.1; bytes=32 time<9 TTL=64
2014-12-24 오후 10:39:35 Reply from 192.168.0.1; bytes=32 time<2 TTL=64
2014-12-24 오후 10:41:06 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:41:07 Reply from 192.168.0.1; bytes=32 time<5 TTL=64
2014-12-24 오후 10:41:08 Reply from 192.168.0.1; bytes=32 time<10 TTL=64
2014-12-24 오후 10:41:09 Reply from 192.168.0.1; bytes=32 time<56 TTL=64
2014-12-24 오후 10:41:10 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:41:26 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:41:27 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:41:28 Reply from 192.168.0.1; bytes=32 time<2 TTL=64
2014-12-24 오후 10:41:29 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
